,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Month,Day_Of_Week
5,2017-06-01,78.1,62.1,0.0,3468,June,Thursday
6,2017-06-02,73.9,60.1,0.01,3271,June,Friday
7,2017-06-03,72,55,0.01,2589,June,Saturday
8,2017-06-04,68,60.1,0.09,1805,June,Sunday
9,2017-06-05,66.9,60.1,0.02,2171,June,Monday
10,2017-06-06,55.9,53.1,0.06,1193,June,Tuesday
11,2017-06-07,66.9,54,0.0,3211,June,Wednesday
12,2017-06-08,68,59,0.0,3253,June,Thursday
13,2017-06-09,80.1,59,0.0,3401,June,Friday
14,2017-06-10,84,68,0.0,3066,June,Saturday
15,2017-06-11,90,73,0.0,2465,June,Sunday
16,2017-06-12,91.9,77,0.0,2854,June,Monday
17,2017-06-13,93.9,78.1,0.0,2882,June,Tuesday
18,2017-06-14,84,69.1,0.29,2596,June,Wednesday
19,2017-06-15,75,66,0.0,3510,June,Thursday
20,2017-06-16,68,66,0.0,2054,June,Friday
21,2017-06-17,73,66.9,1.39,1399,June,Saturday
22,2017-06-18,84,72,0.0,2199,June,Sunday
23,2017-06-19,87.1,70,1.35,1648,June,Monday
24,2017-06-20,82,72,0.03,3407,June,Tuesday
25,2017-06-21,82,72,0.0,3304,June,Wednesday
26,2017-06-22,82,70,0.0,3368,June,Thursday
27,2017-06-23,82.9,75.9,0.04,2283,June,Friday
28,2017-06-24,82.9,71.1,1.29,2307,June,Saturday
29,2017-06-25,82,69.1,0.0,2625,June,Sunday
30,2017-06-26,78.1,66,0.0,3386,June,Monday
31,2017-06-27,75.9,61,0.18,3182,June,Tuesday
32,2017-06-28,78.1,62.1,0.0,3766,June,Wednesday
33,2017-06-29,81,68,0.0,3356,June,Thursday
34,2017-06-30,88,73.9,0.0,2687,June,Friday
5,2017-07-01,84.9,72,0.23,1848,July,Saturday
6,2017-07-02,87.1,73,0.0,2467,July,Sunday
7,2017-07-03,87.1,71.1,0.45,2714,July,Monday
8,2017-07-04,82.9,70,0.0,2296,July,Tuesday
9,2017-07-05,84.9,71.1,0.0,3170,July,Wednesday
10,2017-07-06,75,71.1,0.0,3065,July,Thursday
11,2017-07-07,79,68,1.78,1513,July,Friday
12,2017-07-08,82.9,70,0.0,2718,July,Saturday
13,2017-07-09,81,69.1,0.0,3048,July,Sunday
14,2017-07-10,82.9,71.1,0.0,3506,July,Monday
15,2017-07-11,84,75,0.0,2929,July,Tuesday
16,2017-07-12,87.1,77,0.0,2860,July,Wednesday
