,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge
5,Tuesday,91,72,0.0,3492
6,Wednesday,86,69.1,0.09,2637
7,Thursday,86,70,0.0,3346
8,Friday,82.9,70,0.15,2400
9,Saturday,77,70,0.3,3409
10,Sunday,75.9,64,0.0,3130
11,Monday,71.1,64.9,0.76,804
12,Tuesday,77,66,0.0,3598
13,Wednesday,82.9,66,0.0,3893
14,Thursday,82.9,69.1,0.0,3423
15,Friday,81,70,0.0,3148
16,Saturday,75.9,64.9,0.11,4146
17,Sunday,82,71.1,0.0,3274
18,Monday,80.1,70,0.0,3291
19,Tuesday,73,69.1,0.45,2149
20,Wednesday,84.9,70,0.0,3685
21,Thursday,82,71.1,0.0,3637
22,Friday,81,73,0.88,1064
23,Saturday,84.9,73,0.0,4693
24,Sunday,81,70,0.0,2822
25,Monday,84.9,73,0.0,3088
26,Tuesday,88,75,0.3,2983
27,Wednesday,80.1,71.1,0.0,2994
28,Thursday,79,66,0.0,3688
29,Friday,78.1,64,0.0,3144
30,Saturday,77,62.1,0.0,2710
31,Sunday,77,63,0.0,2676
32,Monday,75,63,0.0,3332
33,Tuesday,68,62.1,0.1,1472
34,Wednesday,75.9,61,0.01,3468
35,Thursday,81,64,0.0,3279
5,Friday,70,55,0.0,2945
6,Saturday,66.9,54,0.53,1876
7,Sunday,69.1,60.1,0.74,1004
8,Monday,79,62.1,0.0,2866
9,Tuesday,84,70,0.0,3244
10,Wednesday,70,62.1,0.42,1232
11,Thursday,71.1,59,0.01,3249
12,Friday,70,59,0.0,3234
13,Saturday,69.1,55,0.0,2609
14,Sunday,72,57,0.0,4960
15,Monday,75.9,55,0.0,3657
16,Tuesday,78.1,61,0.0,3497
17,Wednesday,82,64.9,0.06,2994
18,Thursday,81,70,0.02,3013
19,Friday,81,66.9,0.0,3344
20,Saturday,82,70,0.0,2560
21,Sunday,80.1,70,0.0,2676
22,Monday,73,69.1,0.0,2673
23,Tuesday,78.1,69.1,0.22,2012
24,Wednesday,78.1,71.1,0.0,3296
25,Thursday,80.1,71.1,0.0,3317
26,Friday,82,66,0.0,3297
27,Saturday,86,68,0.0,2810
28,Sunday,90,69.1,0.0,2543
29,Monday,87.1,72,0.0,3276
30,Tuesday,82,69.1,0.0,3157
31,Wednesday,84.9,71.1,0.0,3216
32,Thursday,78.1,66,0.0,3421
33,Friday,66.9,55,0.0,2988
34,Saturday,64,55.9,0.0,1903
5,Sunday,66.9,50,0.0,2297
6,Monday,72,52,0.0,3387
7,Tuesday,70,57,0.0,3386
8,Wednesday,75,55.9,0.0,3412
9,Thursday,82,64.9,0.0,3312
10,Friday,81,69.1,0.0,2982
11,Saturday,80.1,66,0.0,2750
12,Sunday,77,72,0.22,1235
13,Monday,75.9,72,0.26,898
14,Tuesday,80.1,66,0.0,3922
15,Wednesday,75,64.9,0.06,2721
16,Thursday,63,55.9,0.07,2411
17,Friday,64.9,52,0.0,2839
18,Saturday,71.1,62.1,0.08,2021
19,Sunday,72,66,0.0,2169
20,Monday,60.1,52,0.01,2751
21,Tuesday,57.9,43,0.0,2869
22,Wednesday,71.1,50,0.0,3264
23,Thursday,70,55.9,0.0,3265
24,Friday,73,57.9,0.0,3169
25,Saturday,78.1,57,0.0,2538
26,Sunday,75.9,57,0.0,2744
27,Monday,73.9,64,0.0,3189
28,Tuesday,73,66.9,0.2,954
29,Wednesday,64.9,57.9,0.0,3367
30,Thursday,57,53.1,0.0,2565
31,Friday,62.1,48,0.0,3150
32,Saturday,68,55.9,0.0,2245
33,Sunday,64.9,61,3.03,183
34,Monday,55,46,0.25,1428
35,Tuesday,54,44,0.0,2727
5,Saturday,46,37,0.0,606
6,Sunday,62.1,41,0.0,2021
7,Monday,63,50,0.03,2470
8,Tuesday,51.1,46,1.18,723
9,Wednesday,63,46,0.0,2807
10,Thursday,48.9,41,0.73,461
11,Friday,48,43,0.0,1222
12,Saturday,55.9,39.9,0.0,1674
13,Sunday,66,45,0.0,2375
14,Monday,73.9,55,0.0,3324
15,Tuesday,80.1,62.1,0.0,3887
16,Wednesday,73.9,57.9,0.02,2565
17,Thursday,64,48.9,0.0,3353
18,Friday,64.9,48.9,0.0,2942
19,Saturday,64.9,52,0.0,2253
20,Sunday,84.9,62.1,0.0,2877
21,Monday,73.9,64,0.0,3152
22,Tuesday,66,50,0.0,3415
23,Wednesday,52,45,0.0,1965
24,Thursday,64.9,50,0.17,1567
25,Friday,53.1,48,0.29,1426
26,Saturday,55.9,52,0.11,1318
27,Sunday,64.9,46.9,0.0,2520
28,Monday,60.1,50,0.0,2544
